T_centro_bin_C,v_media_m_s,v_sem_m_s,n_puntos,v_teorico_m_s,residuo_m_s
25.50,348.940,2.462,4,346.419,2.521
27.50,355.714,1.379,24,347.577,8.137
28.50,353.629,1.148,32,348.155,5.474
29.50,360.100,1.092,16,348.731,11.368
30.50,358.269,2.881,8,349.307,8.962
31.50,363.558,1.284,8,349.882,13.676
32.50,358.773,1.200,8,350.456,8.317
33.50,362.664,0.937,8,351.028,11.636
34.50,360.877,1.221,8,351.600,9.277
35.50,363.575,1.057,8,352.171,11.404
36.50,359.981,1.652,8,352.741,7.239
37.50,363.264,1.257,4,353.310,9.954
38.50,363.023,1.002,8,353.879,9.145
39.50,360.231,2.100,8,354.446,5.785
40.50,362.354,3.351,8,355.012,7.342
41.50,363.176,1.330,8,355.578,7.598
42.50,360.110,2.823,12,356.142,3.967
43.50,362.309,2.321,4,356.706,5.603
44.50,364.757,0.889,8,357.269,7.488
45.50,359.287,3.493,12,357.831,1.456
46.50,362.187,2.414,8,358.392,3.795
47.50,362.053,1.337,8,358.952,3.101
48.50,365.734,0.987,12,359.511,6.223
49.50,360.637,1.754,8,360.070,0.567
50.50,361.413,1.571,8,360.627,0.785
51.50,363.210,2.022,12,361.184,2.025
52.50,362.096,2.617,8,361.740,0.356
53.50,363.820,0.886,20,362.295,1.525
54.50,363.150,2.143,8,362.849,0.301
55.50,359.045,4.586,8,363.402,-4.358
56.50,365.369,1.177,20,363.955,1.414
57.50,365.544,2.039,8,364.506,1.038
58.50,365.146,1.315,12,365.057,0.088
59.50,369.584,1.297,12,365.607,3.977
60.50,366.279,1.545,12,366.156,0.123
61.50,367.787,1.476,12,366.705,1.082
62.50,364.279,2.978,17,367.252,-2.973
63.50,365.582,1.639,12,367.799,-2.217
64.50,366.817,1.456,8,368.345,-1.527
65.50,369.582,0.992,12,368.890,0.693
66.50,364.692,2.463,10,369.434,-4.742
67.50,368.215,2.745,9,369.977,-1.762
68.50,367.487,3.815,4,370.520,-3.033
69.50,364.921,3.962,8,371.062,-6.141
70.50,366.673,5.190,3,371.603,-4.930
