dataset,n_puntos,pendiente_a,sigma_a,intercepto_b,sigma_b,R2
sonido_20260618_212428.csv,102,0.45,0.04,341.26,2.16,0.54
sonido_20260702_153754.csv,81,0.16,0.07,353.07,3.11,0.07
sonido_20260702_155609.csv,93,0.19,0.05,353.45,2.28,0.15
sonido_20260702_161215.csv,86,0.27,0.05,350.84,2.16,0.30
sonido_20260702_163248.csv,101,0.15,0.06,354.90,2.92,0.06

combinado_todos_los_puntos,463,0.26,0.02,350.05,1.16,0.21
ajuste_a_promedios_binned,45,0.23,0.03,351.66,1.50,0.58

modelo_teorico_Kinsler,-,"0.61 (aprox. cerca de 20°C, no lineal)",-,331.30,-,-
