duracion_us,temperatura_C,humedad_pct,velocidad_m_s
1714.0,28.9,48.9,350.05834305717616
1741.0,28.9,48.9,344.6295232624928
1718.0,28.9,48.9,349.2433061699651
1741.0,28.9,48.9,344.6295232624928
1714.0,28.9,48.9,350.05834305717616
1741.0,28.9,48.9,344.6295232624928
1719.0,28.9,48.9,349.04013961605585
1719.0,28.9,48.9,349.04013961605585
1698.0,28.9,49.0,353.35689045936397
1687.0,28.9,49.0,355.66093657379963
1682.0,28.9,49.0,356.718192627824
1698.0,28.9,49.0,353.35689045936397
1671.0,29.1,49.1,359.0664272890485
1687.0,29.1,49.1,355.66093657379963
1713.0,29.1,49.1,350.2626970227671
1664.0,29.1,49.1,360.5769230769231
1681.0,30.3,48.1,356.9303985722784
1654.0,30.3,48.1,362.75695284159616
1763.0,30.3,48.1,340.3289846851957
1675.0,30.3,48.1,358.2089552238806
1653.0,32.4,45.0,362.9764065335753
1692.0,32.4,45.0,354.6099290780142
1696.0,32.4,45.0,353.77358490566036
1670.0,32.4,45.0,359.28143712574854
1664.0,34.7,40.8,360.5769230769231
1669.0,34.7,40.8,359.49670461354106
1670.0,34.7,40.8,359.28143712574854
1692.0,34.7,40.8,354.6099290780142
1664.0,37.9,35.9,360.5769230769231
1642.0,37.9,35.9,365.4080389768575
1659.0,37.9,35.9,361.6636528028933
1642.0,37.9,35.9,365.4080389768575
1642.0,40.4,31.3,365.4080389768575
1763.0,40.4,31.3,340.3289846851957
1658.0,40.4,31.3,361.8817852834741
1614.0,40.4,31.3,371.74721189591077
1794.0,42.9,26.5,334.44816053511704
1663.0,42.9,26.5,360.7937462417318
1640.0,42.9,26.5,365.8536585365854
1678.0,42.9,26.5,357.56853396901073
1647.0,45.3,21.7,364.2987249544626
1624.0,45.3,21.7,369.4581280788177
1674.0,45.3,21.7,358.42293906810033
1624.0,45.3,21.7,369.4581280788177
1629.0,48.3,17.9,368.3241252302026
1646.0,48.3,17.9,364.52004860267317
1624.0,48.3,17.9,369.4581280788177
1645.0,48.3,17.9,364.741641337386
1652.0,51.3,14.3,363.19612590799034
1596.0,51.3,14.3,375.9398496240601
1645.0,51.3,14.3,364.741641337386
1618.0,51.3,14.3,370.8281829419036
1662.0,53.9,10.0,361.01083032490976
1624.0,53.9,10.0,369.4581280788177
1601.0,53.9,10.0,374.76577139287946
1645.0,53.9,10.0,364.741641337386
1595.0,56.0,10.0,376.1755485893417
1643.0,56.0,10.0,365.18563603164944
1618.0,56.0,10.0,370.8281829419036
1644.0,56.0,10.0,364.9635036496351
1617.0,57.9,10.0,371.0575139146568
1617.0,57.9,10.0,371.0575139146568
1644.0,57.9,10.0,364.9635036496351
1661.0,57.9,10.0,361.2281757977122
1622.0,59.7,10.0,369.9136868064118
1622.0,59.7,10.0,369.9136868064118
1617.0,59.7,10.0,371.0575139146568
1616.0,59.7,10.0,371.28712871287127
1589.0,61.5,10.0,377.5959723096287
1594.0,61.5,10.0,376.4115432873275
1638.0,61.5,10.0,366.3003663003663
1642.0,61.5,10.0,365.4080389768575
1660.0,63.0,10.0,361.4457831325301
1638.0,63.0,10.0,366.3003663003663
1615.0,63.0,10.0,371.5170278637771
1664.0,63.0,10.0,360.5769230769231
1616.0,64.0,10.0,371.28712871287127
1615.0,64.0,10.0,371.5170278637771
1642.0,64.0,10.0,365.4080389768575
1636.0,64.0,10.0,366.7481662591687
1630.0,65.5,10.0,368.09815950920245
1615.0,65.5,10.0,371.5170278637771
1615.0,65.5,10.0,371.5170278637771
1620.0,65.5,10.0,370.3703703703704
1593.0,66.2,10.0,376.6478342749529
1615.0,66.2,10.0,371.5170278637771
1614.0,66.2,10.0,371.74721189591077
1614.0,66.2,10.0,371.74721189591077
1609.0,67.8,10.0,372.9024238657551
1614.0,67.8,10.0,371.74721189591077
1592.0,67.8,10.0,376.8844221105528
1614.0,67.8,10.0,371.74721189591077
1614.0,68.5,10.0,371.74721189591077
1614.0,68.5,10.0,371.74721189591077
1620.0,68.5,10.0,370.3703703703704
1685.0,68.5,10.0,356.0830860534125
1613.0,69.4,10.0,371.97768133911967
1657.0,69.4,10.0,362.10018105009055
1636.0,69.4,10.0,366.7481662591687
1613.0,69.4,10.0,371.97768133911967
1614.0,70.4,10.0,371.74721189591077
1613.0,70.4,10.0,371.97768133911967
