,Muestra,Valor
0,0,1598
1,1,1578
2,2,1520
3,3,1522
4,4,1472
5,5,1466
6,6,1394
7,7,1386
8,8,1363
9,9,1306
10,10,1304
11,11,1268
12,12,1258
13,13,1219
14,14,1246
15,15,1198
16,16,1169
17,17,1123
18,18,1097
19,19,1072
20,20,1066
21,21,1048
22,22,1010
23,23,1008
24,24,1014
25,25,952
26,26,976
27,27,914
28,28,901
29,29,880
30,30,856
31,31,840
32,32,844
33,33,822
34,34,796
35,35,780
36,36,757
37,37,748
38,38,750
39,39,732
40,40,721
41,41,684
42,42,672
43,43,692
44,44,686
45,45,661
46,46,646
47,47,632
48,48,606
49,49,606
50,50,621
51,51,589
52,52,542
53,53,542
54,54,552
55,55,537
56,56,509
57,57,518
58,58,508
59,59,498
60,60,492
61,61,486
62,62,466
63,63,473
64,64,461
65,65,441
66,66,468
67,67,445
68,68,466
69,69,424
70,70,425
71,71,403
72,72,400
73,73,421
74,74,412
75,75,387
76,76,385
77,77,384
78,78,357
79,79,352
80,80,340
81,81,358
82,82,326
83,83,342
84,84,346
85,85,314
86,86,303
87,87,326
88,88,316
89,89,284
90,90,308
91,91,318
92,92,276
93,93,282
94,94,301
95,95,309
96,96,293
97,97,282
98,98,289
99,99,277
100,100,239
101,101,256
102,102,261
103,103,258
104,104,232
105,105,254
106,106,250
107,107,244
108,108,220
109,109,206
110,110,206
111,111,240
112,112,228
113,113,218
114,114,221
115,115,240
116,116,224
117,117,200
118,118,192
119,119,186
120,120,219
121,121,185
122,122,200
123,123,210
124,124,208
125,125,194
126,126,196
127,127,193
128,128,170
129,129,173
130,130,200
131,131,174
132,132,139
133,133,176
134,134,152
135,135,157
136,136,140
137,137,147
138,138,160
139,139,196
140,140,158
141,141,162
142,142,176
143,143,162
144,144,136
145,145,147
146,146,157
147,147,145
148,148,156
149,149,154
150,150,160
151,151,156
152,152,148
153,153,148
154,154,142
155,155,158
156,156,149
157,157,136
158,158,150
159,159,148
160,160,140
161,161,131
162,162,132
163,163,161
164,164,116
165,165,128
166,166,136
167,167,149
168,168,126
169,169,109
170,170,144
171,171,160
172,172,113
173,173,120
174,174,111
175,175,120
176,176,136
177,177,110
178,178,122
179,179,118
180,180,121
181,181,116
182,182,124
183,183,100
184,184,124
185,185,108
186,186,129
187,187,109
188,188,119
189,189,122
190,190,116
191,191,106
192,192,112
193,193,108
194,194,104
195,195,116
196,196,129
197,197,104
198,198,108
199,199,100
200,200,97
201,201,96
202,202,112
203,203,142
204,204,113
205,205,111
206,206,102
207,207,105
208,208,108
209,209,94
210,210,115
211,211,83
212,212,88
213,213,97
214,214,88
215,215,104
216,216,113
217,217,80
218,218,122
219,219,126
220,220,113
221,221,117
222,222,96
223,223,96
224,224,74
225,225,115
226,226,79
227,227,69
228,228,100
229,229,101
230,230,90
231,231,105
232,232,80
233,233,106
234,234,108
235,235,95
236,236,88
237,237,122
238,238,110
239,239,104
240,240,101
241,241,89
242,242,95
243,243,98
244,244,100
245,245,96
246,246,73
247,247,83
248,248,112
249,249,96
250,250,86
251,251,92
252,252,90
253,253,80
254,254,88
255,255,88
256,256,396
257,257,644
258,258,892
259,259,1120
260,260,1370
261,261,1603
262,262,1804
263,263,2042
264,264,2264
265,265,2480
266,266,2664
267,267,2862
268,268,3048
269,269,3241
270,270,3408
271,271,3567
272,272,3780
273,273,3943
274,274,4120
275,275,4266
276,276,4414
277,277,4596
278,278,4748
279,279,4889
280,280,5040
281,281,5141
282,282,5308
283,283,5453
284,284,5560
285,285,5704
286,286,5842
287,287,5989
288,288,6084
289,289,6184
290,290,6310
291,291,6429
292,292,6532
293,293,6672
294,294,6756
295,295,6849
296,296,6938
297,297,7084
298,298,7140
299,299,7238
300,300,7340
301,301,7424
302,302,7516
303,303,7616
304,304,7690
305,305,7768
306,306,7837
307,307,7952
308,308,8034
309,309,8092
310,310,8161
311,311,8216
312,312,8285
313,313,8364
314,314,8413
315,315,8508
316,316,8567
317,317,8624
318,318,8694
319,319,8760
320,320,8797
321,321,8876
322,322,8924
323,323,8982
324,324,9044
325,325,9090
326,326,9116
327,327,9170
328,328,9217
329,329,9288
330,330,9326
331,331,9362
332,332,9404
333,333,9480
334,334,9503
335,335,9563
336,336,9584
337,337,9662
338,338,9664
339,339,9720
340,340,9748
341,341,9774
342,342,9818
343,343,9814
344,344,9903
345,345,9946
346,346,9966
347,347,9998
348,348,10022
349,349,10053
350,350,10092
351,351,10108
352,352,10138
353,353,10174
354,354,10213
355,355,10232
356,356,10240
357,357,10280
358,358,10322
359,359,10347
360,360,10366
361,361,10404
362,362,10410
363,363,10433
364,364,10471
365,365,10490
366,366,10508
367,367,10496
368,368,10568
369,369,10554
370,370,10592
371,371,10611
372,372,10638
373,373,10641
374,374,10643
375,375,10673
376,376,10676
377,377,10717
378,378,10761
379,379,10786
380,380,10788
381,381,10774
382,382,10806
383,383,10818
384,384,10846
385,385,10856
386,386,10866
387,387,10875
388,388,10899
389,389,10929
390,390,10900
391,391,10944
392,392,10928
393,393,10968
394,394,10948
395,395,10979
396,396,10976
397,397,11024
398,398,11033
399,399,11034
400,400,11022
401,401,11064
402,402,11074
403,403,11065
404,404,11073
405,405,11086
406,406,11092
407,407,11097
408,408,11116
409,409,11142
410,410,11132
411,411,11162
412,412,11149
413,413,11182
414,414,11162
415,415,11199
416,416,11197
417,417,11203
418,418,11209
419,419,11222
420,420,11228
421,421,11234
422,422,11224
423,423,11234
424,424,11235
425,425,11241
426,426,11245
427,427,11241
428,428,11250
429,429,11250
430,430,11285
431,431,11316
432,432,11313
433,433,11316
434,434,11288
435,435,11284
436,436,11312
437,437,11335
438,438,11297
439,439,11318
440,440,11325
441,441,11319
442,442,11322
443,443,11332
444,444,11340
445,445,11348
446,446,11333
447,447,11354
448,448,11358
449,449,11374
450,450,11374
451,451,11412
452,452,11375
453,453,11381
454,454,11391
455,455,11400
456,456,11412
457,457,11433
458,458,11392
459,459,11419
460,460,11429
461,461,11411
462,462,11434
463,463,11437
464,464,11426
465,465,11433
466,466,11439
467,467,11434
468,468,11449
469,469,11440
470,470,11456
471,471,11475
472,472,11454
473,473,11461
474,474,11444
475,475,11461
476,476,11498
477,477,11479
478,478,11465
479,479,11466
480,480,11486
481,481,11497
482,482,11452
483,483,11461
484,484,11494
485,485,11454
486,486,11458
487,487,11485
488,488,11504
489,489,11446
490,490,11496
491,491,11491
492,492,11469
493,493,11488
494,494,11494
495,495,11504
496,496,11483
497,497,11518
498,498,11524
499,499,11510
500,500,11500
501,501,11495
502,502,11520
503,503,11508
504,504,11526
505,505,11535
506,506,11504
507,507,11488
508,508,11512
509,509,11531
510,510,11521
511,511,11526
512,512,11501
513,513,11213
514,514,10974
515,515,10742
516,516,10469
517,517,10270
518,518,10006
519,519,9789
520,520,9560
521,521,9346
522,522,9154
523,523,8944
524,524,8746
525,525,8538
526,526,8363
527,527,8137
528,528,7986
529,529,7791
530,530,7649
531,531,7472
532,532,7276
533,533,7156
534,534,6964
535,535,6804
536,536,6669
537,537,6506
538,538,6356
539,539,6250
540,540,6099
541,541,5946
542,542,5840
543,543,5696
544,544,5557
545,545,5438
546,546,5328
547,547,5206
548,548,5064
549,549,4964
550,550,4848
551,551,4754
552,552,4634
553,553,4532
554,554,4463
555,555,4356
556,556,4254
557,557,4168
558,558,4057
559,559,3972
560,560,3899
561,561,3804
562,562,3725
563,563,3640
564,564,3545
565,565,3506
566,566,3435
567,567,3328
568,568,3248
569,569,3194
570,570,3113
571,571,3062
572,572,2993
573,573,2896
574,574,2836
575,575,2815
576,576,2744
577,577,2656
578,578,2600
579,579,2574
580,580,2510
581,581,2438
582,582,2396
583,583,2342
584,584,2320
585,585,2218
586,586,2196
587,587,2129
588,588,2106
589,589,2034
590,590,2016
591,591,1964
592,592,1928
593,593,1898
594,594,1822
595,595,1824
596,596,1766
597,597,1736
598,598,1718
599,599,1656
600,600,1612
601,601,1586
602,602,1557
603,603,1532
604,604,1478
605,605,1435
606,606,1430
607,607,1400
608,608,1358
